,id,maxLat,minLat,maxLong,minLong
106,106,-23.8029229,-23.8119229,-46.70114329999999,-46.71014329999999
107,107,-23.8029229,-23.8119229,-46.69214329999999,-46.70114329999999
108,108,-23.8029229,-23.8119229,-46.68314329999999,-46.69214329999999
109,109,-23.8029229,-23.8119229,-46.67414329999999,-46.68314329999999
110,110,-23.8029229,-23.8119229,-46.66514329999999,-46.67414329999999
111,111,-23.8029229,-23.8119229,-46.65614329999999,-46.66514329999999
112,112,-23.8029229,-23.8119229,-46.64714329999999,-46.65614329999999
113,113,-23.8029229,-23.8119229,-46.63814329999999,-46.64714329999999
114,114,-23.8029229,-23.8119229,-46.62914329999999,-46.63814329999999
115,115,-23.8029229,-23.8119229,-46.62014329999999,-46.62914329999999
116,116,-23.8029229,-23.8119229,-46.61114329999999,-46.62014329999999
117,117,-23.8029229,-23.8119229,-46.60214329999999,-46.61114329999999
118,118,-23.8029229,-23.8119229,-46.59314329999999,-46.60214329999999
119,119,-23.8029229,-23.8119229,-46.58414329999999,-46.59314329999999
120,120,-23.8029229,-23.8119229,-46.575143299999986,-46.58414329999999
121,121,-23.8029229,-23.8119229,-46.566143299999986,-46.575143299999986
122,122,-23.8029229,-23.8119229,-46.557143299999986,-46.566143299999986
123,123,-23.8029229,-23.8119229,-46.548143299999985,-46.557143299999986
124,124,-23.8029229,-23.8119229,-46.539143299999985,-46.548143299999985
125,125,-23.8029229,-23.8119229,-46.530143299999985,-46.539143299999985
126,126,-23.8029229,-23.8119229,-46.521143299999984,-46.530143299999985
127,127,-23.8029229,-23.8119229,-46.512143299999984,-46.521143299999984
128,128,-23.8029229,-23.8119229,-46.503143299999984,-46.512143299999984
129,129,-23.8029229,-23.8119229,-46.49414329999998,-46.503143299999984
130,130,-23.8029229,-23.8119229,-46.48514329999998,-46.49414329999998
131,131,-23.8029229,-23.8119229,-46.47614329999998,-46.48514329999998
132,132,-23.8029229,-23.8119229,-46.46714329999998,-46.47614329999998
133,133,-23.8029229,-23.8119229,-46.45814329999998,-46.46714329999998
134,134,-23.8029229,-23.8119229,-46.44914329999998,-46.45814329999998
135,135,-23.8029229,-23.8119229,-46.44014329999998,-46.44914329999998
136,136,-23.8029229,-23.8119229,-46.43114329999998,-46.44014329999998
137,137,-23.8029229,-23.8119229,-46.42214329999998,-46.43114329999998
138,138,-23.8029229,-23.8119229,-46.41314329999998,-46.42214329999998
139,139,-23.8029229,-23.8119229,-46.40414329999998,-46.41314329999998
140,140,-23.8029229,-23.8119229,-46.39514329999998,-46.40414329999998
141,141,-23.8029229,-23.8119229,-46.38614329999998,-46.39514329999998
142,142,-23.8029229,-23.8119229,-46.37714329999998,-46.38614329999998
143,143,-23.8029229,-23.8119229,-46.36814329999998,-46.37714329999998
144,144,-23.8029229,-23.8119229,-46.35914329999998,-46.36814329999998
145,145,-23.8029229,-23.8119229,-46.35014329999998,-46.35914329999998
146,146,-23.8029229,-23.8119229,-46.34114329999998,-46.35014329999998
147,147,-23.8029229,-23.8119229,-46.33214329999998,-46.34114329999998
148,148,-23.8029229,-23.8119229,-46.32314329999998,-46.33214329999998
149,149,-23.8029229,-23.8119229,-46.31414329999998,-46.32314329999998
150,150,-23.8029229,-23.8119229,-46.305143299999976,-46.31414329999998
151,151,-23.8029229,-23.8119229,-46.296143299999976,-46.305143299999976
152,152,-23.8029229,-23.8119229,-46.287143299999975,-46.296143299999976
153,153,-23.8029229,-23.8119229,-46.278143299999975,-46.287143299999975
154,154,-23.8029229,-23.8119229,-46.269143299999975,-46.278143299999975
155,155,-23.8029229,-23.8119229,-46.260143299999974,-46.269143299999975
156,156,-23.7939229,-23.8029229,-46.9531433,-46.9621433
157,157,-23.7939229,-23.8029229,-46.9441433,-46.9531433
158,158,-23.7939229,-23.8029229,-46.9351433,-46.9441433
159,159,-23.7939229,-23.8029229,-46.9261433,-46.9351433
160,160,-23.7939229,-23.8029229,-46.9171433,-46.9261433
161,161,-23.7939229,-23.8029229,-46.9081433,-46.9171433
162,162,-23.7939229,-23.8029229,-46.8991433,-46.9081433
163,163,-23.7939229,-23.8029229,-46.8901433,-46.8991433
164,164,-23.7939229,-23.8029229,-46.8811433,-46.8901433
165,165,-23.7939229,-23.8029229,-46.8721433,-46.8811433
166,166,-23.7939229,-23.8029229,-46.8631433,-46.8721433
167,167,-23.7939229,-23.8029229,-46.8541433,-46.8631433
168,168,-23.7939229,-23.8029229,-46.8451433,-46.8541433
169,169,-23.7939229,-23.8029229,-46.836143299999996,-46.8451433
170,170,-23.7939229,-23.8029229,-46.827143299999996,-46.836143299999996
171,171,-23.7939229,-23.8029229,-46.818143299999996,-46.827143299999996
172,172,-23.7939229,-23.8029229,-46.809143299999995,-46.818143299999996
173,173,-23.7939229,-23.8029229,-46.800143299999995,-46.809143299999995
174,174,-23.7939229,-23.8029229,-46.791143299999995,-46.800143299999995
175,175,-23.7939229,-23.8029229,-46.782143299999994,-46.791143299999995
176,176,-23.7939229,-23.8029229,-46.773143299999994,-46.782143299999994
177,177,-23.7939229,-23.8029229,-46.76414329999999,-46.773143299999994
178,178,-23.7939229,-23.8029229,-46.75514329999999,-46.76414329999999
179,179,-23.7939229,-23.8029229,-46.74614329999999,-46.75514329999999
180,180,-23.7939229,-23.8029229,-46.73714329999999,-46.74614329999999
181,181,-23.7939229,-23.8029229,-46.72814329999999,-46.73714329999999
182,182,-23.7939229,-23.8029229,-46.71914329999999,-46.72814329999999
183,183,-23.7939229,-23.8029229,-46.71014329999999,-46.71914329999999
184,184,-23.7939229,-23.8029229,-46.70114329999999,-46.71014329999999
185,185,-23.7939229,-23.8029229,-46.69214329999999,-46.70114329999999
186,186,-23.7939229,-23.8029229,-46.68314329999999,-46.69214329999999
187,187,-23.7939229,-23.8029229,-46.67414329999999,-46.68314329999999
188,188,-23.7939229,-23.8029229,-46.66514329999999,-46.67414329999999
189,189,-23.7939229,-23.8029229,-46.65614329999999,-46.66514329999999
190,190,-23.7939229,-23.8029229,-46.64714329999999,-46.65614329999999
191,191,-23.7939229,-23.8029229,-46.63814329999999,-46.64714329999999
192,192,-23.7939229,-23.8029229,-46.62914329999999,-46.63814329999999
193,193,-23.7939229,-23.8029229,-46.62014329999999,-46.62914329999999
194,194,-23.7939229,-23.8029229,-46.61114329999999,-46.62014329999999
195,195,-23.7939229,-23.8029229,-46.60214329999999,-46.61114329999999
196,196,-23.7939229,-23.8029229,-46.59314329999999,-46.60214329999999
197,197,-23.7939229,-23.8029229,-46.58414329999999,-46.59314329999999
198,198,-23.7939229,-23.8029229,-46.575143299999986,-46.58414329999999
199,199,-23.7939229,-23.8029229,-46.566143299999986,-46.575143299999986
200,200,-23.7939229,-23.8029229,-46.557143299999986,-46.566143299999986
201,201,-23.7939229,-23.8029229,-46.548143299999985,-46.557143299999986
202,202,-23.7939229,-23.8029229,-46.539143299999985,-46.548143299999985
203,203,-23.7939229,-23.8029229,-46.530143299999985,-46.539143299999985
204,204,-23.7939229,-23.8029229,-46.521143299999984,-46.530143299999985
205,205,-23.7939229,-23.8029229,-46.512143299999984,-46.521143299999984
206,206,-23.7939229,-23.8029229,-46.503143299999984,-46.512143299999984
207,207,-23.7939229,-23.8029229,-46.49414329999998,-46.503143299999984
208,208,-23.7939229,-23.8029229,-46.48514329999998,-46.49414329999998
209,209,-23.7939229,-23.8029229,-46.47614329999998,-46.48514329999998
210,210,-23.7939229,-23.8029229,-46.46714329999998,-46.47614329999998
211,211,-23.7939229,-23.8029229,-46.45814329999998,-46.46714329999998
212,212,-23.7939229,-23.8029229,-46.44914329999998,-46.45814329999998
213,213,-23.7939229,-23.8029229,-46.44014329999998,-46.44914329999998
214,214,-23.7939229,-23.8029229,-46.43114329999998,-46.44014329999998
215,215,-23.7939229,-23.8029229,-46.42214329999998,-46.43114329999998
216,216,-23.7939229,-23.8029229,-46.41314329999998,-46.42214329999998
217,217,-23.7939229,-23.8029229,-46.40414329999998,-46.41314329999998
218,218,-23.7939229,-23.8029229,-46.39514329999998,-46.40414329999998
219,219,-23.7939229,-23.8029229,-46.38614329999998,-46.39514329999998
220,220,-23.7939229,-23.8029229,-46.37714329999998,-46.38614329999998
221,221,-23.7939229,-23.8029229,-46.36814329999998,-46.37714329999998
222,222,-23.7939229,-23.8029229,-46.35914329999998,-46.36814329999998
223,223,-23.7939229,-23.8029229,-46.35014329999998,-46.35914329999998
224,224,-23.7939229,-23.8029229,-46.34114329999998,-46.35014329999998
225,225,-23.7939229,-23.8029229,-46.33214329999998,-46.34114329999998
226,226,-23.7939229,-23.8029229,-46.32314329999998,-46.33214329999998
227,227,-23.7939229,-23.8029229,-46.31414329999998,-46.32314329999998
228,228,-23.7939229,-23.8029229,-46.305143299999976,-46.31414329999998
229,229,-23.7939229,-23.8029229,-46.296143299999976,-46.305143299999976
230,230,-23.7939229,-23.8029229,-46.287143299999975,-46.296143299999976
231,231,-23.7939229,-23.8029229,-46.278143299999975,-46.287143299999975
232,232,-23.7939229,-23.8029229,-46.269143299999975,-46.278143299999975
233,233,-23.7939229,-23.8029229,-46.260143299999974,-46.269143299999975
234,234,-23.784922899999998,-23.7939229,-46.9531433,-46.9621433
235,235,-23.784922899999998,-23.7939229,-46.9441433,-46.9531433
236,236,-23.784922899999998,-23.7939229,-46.9351433,-46.9441433
237,237,-23.784922899999998,-23.7939229,-46.9261433,-46.9351433
238,238,-23.784922899999998,-23.7939229,-46.9171433,-46.9261433
239,239,-23.784922899999998,-23.7939229,-46.9081433,-46.9171433
240,240,-23.784922899999998,-23.7939229,-46.8991433,-46.9081433
241,241,-23.784922899999998,-23.7939229,-46.8901433,-46.8991433
242,242,-23.784922899999998,-23.7939229,-46.8811433,-46.8901433
243,243,-23.784922899999998,-23.7939229,-46.8721433,-46.8811433
244,244,-23.784922899999998,-23.7939229,-46.8631433,-46.8721433
245,245,-23.784922899999998,-23.7939229,-46.8541433,-46.8631433
246,246,-23.784922899999998,-23.7939229,-46.8451433,-46.8541433
